Point Name,Northing,Easting,Elevation,Point Code
IITK,2933660.08,423495.479,70.242,22317M001
1,2933007.88,423333.508,65.994,MH
2,2933007.888,423333.508,65.992,MH2
3,2933084.178,423329.959,65.825,B
4,2933103.002,423329.171,65.89,B
5,2933105.14,423328.582,65.809,P
6,2933104.52,423320.976,65.92,Fire
7,2933102.93,423305.847,65.876,E
8,2933102.803,423316.346,65.949,E
9,2933104.515,423295.998,65.882,P
10,2933104.455,423280.49,65.888,P
11,2933103.82,423272.035,65.881,F
12,2933102.26,423262.418,65.919,B
13,2933098.177,423261.662,65.949,B
14,2933098.985,423257.505,65.898,B
15,2933103.209,423257.375,65.734,M
16,2933094.235,423255.784,65.935,F
17,2933092.493,423255.875,65.919,P
18,2933084.399,423257.324,65.934,B
19,2933082.455,423265.908,65.861,P
20,2933082.453,423275.02,65.86,F
21,2933082.543,423303.664,65.866,P
22,2933082.604,423309.809,65.85,F
23,2933082.891,423317.131,65.809,F
24,2933083.24,423323.835,65.928,green tank
25,2933086.138,423330.014,65.833,garden
26,2933086.072,423332.039,65.831,garden
27,2933082.909,423332.623,65.851,garden
28,2933083.013,423335.444,65.906,garden
29,2933094.447,423335.681,65.848,garden
30,2933094.878,423331.918,65.901,garden
31,2933097.3,423331.807,65.888,garden2
32,2933097.484,423335.59,65.852,garden2
33,2933105.563,423334.96,65.898,garden2
34,2933105.399,423327.712,65.824,garden2
35,2933103.276,423327.636,65.827,garden2
36,2933103.212,423330.028,65.821,garden2
37,2933106.478,423306.305,65.854,E
38,2933107.302,423316.455,65.823,E
39,2933102.26,423297.953,65.872,B
40,2933102.11,423291.968,65.884,B
41,2933102.139,423278.269,65.915,B
42,2933093.093,423257.237,65.954,B
43,2933087.122,423256.912,65.86,B
44,2933083.699,423263.115,65.859,B
45,2933076.566,423344.437,65.784,Road
46,2933093.902,423344.376,65.755,Road
47,2933107.363,423344.768,65.734,Road
48,2933107.778,423350.157,65.739,Road
49,2933093.854,423350.457,65.804,Road
